time x y z pitch mu rL Rc gyrophase
33.8035 0.846745 31.7662 30.521 0.407229 1.0104e-31 0.396066 inf 1.79521
33.9292 0.916771 31.8861 30.6318 0.407229 1.0104e-31 0.396067 inf 1.61761
34.0549 0.986826 31.9972 30.7515 0.407229 1.0104e-31 0.396066 inf 1.44001
34.1805 1.05471 32.0996 30.8799 0.407229 1.01039e-31 0.396065 inf 1.26242
34.3062 1.11828 32.1937 31.0165 0.407229 1.01039e-31 0.396065 inf 1.08482
34.4319 1.17554 32.2803 31.1608 0.407229 1.01039e-31 0.396065 inf 0.907223
34.5575 1.2247 32.3601 31.3117 0.407229 1.01039e-31 0.396066 inf 0.729621
34.6832 1.26419 32.4343 31.4682 0.407229 1.0104e-31 0.396066 inf 0.55202
34.8088 1.29279 32.5043 31.629 0.407229 1.0104e-31 0.396067 inf 0.374421
34.9345 1.30959 32.5714 31.7927 0.407228 1.01039e-31 0.396066 inf 0.196824
35.0602 1.31406 32.6372 31.9577 0.40723 1.01041e-31 0.396069 inf 0.0192251
35.1858 1.30606 32.7032 32.1225 0.407229 1.01039e-31 0.396066 inf 6.12481
35.3115 1.28585 32.7709 32.2855 0.407228 1.01038e-31 0.396064 inf 5.94721
35.4372 1.25406 32.842 32.4453 0.407228 1.01039e-31 0.396065 inf 5.76961
35.5628 1.21168 32.9177 32.6003 0.407229 1.01039e-31 0.396066 inf 5.59202
35.6885 1.16006 32.9993 32.7495 0.407229 1.0104e-31 0.396067 inf 5.41442
35.8142 1.10081 33.0879 32.8916 0.407229 1.01039e-31 0.396066 inf 5.23682
35.9398 1.03581 33.1843 33.026 0.407229 1.0104e-31 0.396066 inf 5.05922
36.0655 0.967091 33.2892 33.1519 0.407229 1.0104e-31 0.396067 inf 4.88162
36.1911 0.896819 33.4028 33.2691 0.407229 1.0104e-31 0.396066 inf 4.70402
36.3168 0.827205 33.5252 33.3775 0.407229 1.0104e-31 0.396066 inf 4.52643
36.4425 0.760438 33.6562 33.4773 0.407229 1.0104e-31 0.396068 inf 4.34882
36.5681 0.69862 33.7952 33.5689 0.407229 1.0104e-31 0.396067 inf 4.17123
36.6938 0.643694 33.9417 33.6533 0.407229 1.01039e-31 0.396066 inf 3.99363
