it time x y z u v w Bx By Bz
600 37.6991 0.593491 35.2287 34.2125 0.301671 1.25194 0.584507 0 1 1
602 37.8248 0.638895 35.382 34.2899 0.380303 1.209 0.627441 0 1 1
604 37.9504 0.693072 35.5291 34.3736 0.446971 1.15692 0.679523 0 1 1
606 38.0761 0.754315 35.6689 34.4645 0.499578 1.09733 0.739114 0 1 1
608 38.2018 0.8207 35.8007 34.5635 0.536469 1.0321 0.804339 0 1 1
610 38.3274 0.890137 35.924 34.6711 0.556483 0.963296 0.873147 0 1 1
612 38.4531 0.960441 36.0384 34.7874 0.558992 0.89307 0.943373 0 1 1
614 38.5788 1.0294 36.1441 34.9125 0.543915 0.823636 1.01281 0 1 1
616 38.7044 1.09485 36.2413 35.0461 0.511728 0.757176 1.07927 0 1 1
618 38.8301 1.15473 36.3306 35.1875 0.463443 0.695783 1.14066 0 1 1
620 38.9557 1.20715 36.4128 35.3361 0.400578 0.641388 1.19506 0 1 1
622 39.0814 1.25046 36.489 35.4906 0.325112 0.595701 1.24074 0 1 1
624 39.2071 1.28331 36.5605 35.65 0.239419 0.560161 1.27628 0 1 1
626 39.3327 1.30466 36.6285 35.8127 0.146193 0.535884 1.30056 0 1 1
628 39.4584 1.31383 36.6946 35.9774 0.048369 0.523635 1.31281 0 1 1
